severity,is_high_density,days_overdue,recurrence_count,estimated_block_duration,priority_score
1,1,14,1,1.29,5.4314
2,1,22,5,3.66,6.8254
2,1,1,3,5.68,5.2476
4,1,13,2,1.2,7.618
5,1,20,1,1.61,9.3058
1,1,7,2,3.26,4.5179
1,1,7,1,5.67,4.91
3,1,18,0,2.58,6.2259
2,1,6,5,3.54,6.1944
5,0,18,2,1.21,7.6458
4,0,5,3,1.74,4.998
2,1,5,3,5.93,5.5976
4,1,2,4,5.83,7.3755
3,0,6,1,1.02,4.0451
3,1,18,2,5.76,7.5551
1,0,7,4,4.2,4.1404
5,0,9,2,5.34,7.2108
4,0,19,1,3.27,6.7126
2,0,14,3,3.58,5.246
3,0,14,0,3.44,4.9972
1,1,28,3,4.33,6.3925
1,0,0,4,1.7,3.1519
4,1,19,5,1.15,8.0391
3,1,29,0,2.54,7.7655
5,0,6,4,4.52,7.2602
3,0,26,1,2.01,6.0879
4,1,3,0,4.37,4.9137
4,0,28,4,5.85,7.5292
3,0,5,1,1.47,4.0105
4,1,24,3,4.36,9.0879
3,1,0,5,3.22,6.5892
2,0,28,1,5.34,5.5717
3,1,4,2,1.89,5.7015
3,0,26,1,4.46,6.3974
4,0,22,1,5.19,7.5846
4,0,0,5,5.72,6.1949
1,1,29,2,4.42,6.1695
1,1,3,4,3.49,4.6551
2,1,21,4,4.09,7.3199
1,1,1,1,5.34,3.5953
3,1,9,2,3.85,6.3259
4,0,4,2,1.15,4.4959
1,0,26,5,5.65,5.0571
1,0,9,3,4.45,4.4576
2,0,0,4,4.38,3.7796
2,1,21,5,2.08,6.9076
3,0,5,0,4.29,3.7747
4,1,12,4,2.97,8.1661
2,0,30,5,4.26,5.2096
1,1,14,4,1.53,5.722
4,1,3,3,4.29,7.0975
4,0,12,0,6.0,5.8058
1,0,23,3,1.24,4.6969
2,0,19,0,5.89,5.1719
1,0,23,1,3.03,4.7223
4,1,14,5,5.35,8.8219
5,0,28,0,4.91,8.5022
5,0,7,3,3.84,6.5395
3,1,4,4,4.69,6.5107
1,0,28,0,5.39,5.279
1,0,14,5,3.02,4.3532
3,0,3,0,2.64,3.9397
3,0,11,2,4.34,5.4547
3,0,12,4,5.04,6.6203
4,1,1,5,4.81,7.4192
1,0,26,5,4.99,4.9538
4,0,30,1,3.18,7.0487
3,0,18,3,5.09,6.5008
1,0,18,1,1.6,4.17
4,0,3,5,3.72,6.1435
4,1,3,4,1.03,7.2596
3,0,25,0,2.62,7.0924
1,1,10,0,2.83,4.0362
3,1,26,4,2.98,7.8928
1,0,4,5,4.48,4.2454
5,0,19,0,2.94,7.6449
2,0,10,0,3.24,3.4617
2,0,29,0,2.19,5.1795
2,1,9,3,2.87,5.67
3,0,7,3,2.14,4.9431
5,0,5,2,1.37,5.6104
1,0,5,1,4.02,3.1256
4,0,7,4,4.34,7.0421
1,0,22,4,4.1,4.6043
4,0,14,4,3.32,6.9844
1,1,25,2,2.9,6.257
5,1,13,3,5.32,9.7967
4,0,10,5,3.6,7.2564
3,0,11,5,3.4,6.2152
1,0,25,2,1.13,4.4516
1,1,12,5,2.71,6.0174
4,0,7,4,2.9,6.4759
3,1,29,1,2.99,7.6364
3,0,17,0,3.9,5.212
5,0,24,3,3.67,8.3988
3,0,0,3,4.04,4.0354
3,0,14,2,4.82,5.4898
3,1,7,3,5.06,6.9282
2,1,27,4,4.59,7.1805
5,0,10,5,5.78,8.5201
1,0,11,4,1.09,4.2789
4,1,11,2,1.98,7.3673
1,1,3,4,1.04,4.5374
5,1,15,5,4.24,9.4148
4,1,3,1,5.49,6.3885
5,0,4,2,2.22,5.997
3,1,23,1,5.64,7.9532
4,0,4,0,1.3,3.9536
3,1,7,1,5.67,6.4623
1,1,30,0,2.76,6.3653
1,1,9,0,1.51,4.1789
4,1,16,1,3.43,7.704
4,1,27,2,2.28,7.9934
5,0,30,5,2.42,7.9239
5,0,25,4,2.54,7.9892
3,1,8,4,5.02,7.8628
4,1,21,5,3.7,9.1108
1,0,18,0,2.56,3.8645
5,1,28,0,4.05,9.8374
5,1,13,2,4.58,8.7896
1,0,7,3,2.36,3.0287
5,1,8,1,3.07,7.5355
3,1,21,0,1.61,7.3762
4,0,10,4,1.91,6.7628
1,0,22,2,4.41,5.211
4,0,0,1,1.91,3.7778
5,1,13,2,3.63,8.6242
5,0,4,1,4.55,5.8068
1,0,20,1,1.53,4.0862
3,0,25,5,3.84,6.3208
2,0,13,0,2.28,3.8518
1,0,3,2,5.81,3.1605
2,0,21,2,3.42,5.5528
2,1,22,5,5.03,7.0055
3,1,24,4,3.75,7.7419
2,0,0,4,1.22,3.5237
2,0,30,0,4.17,5.7823
3,0,21,0,5.76,6.2759
2,1,22,3,4.01,7.3576
2,1,18,5,5.1,7.3661
2,1,7,4,5.42,6.6527
1,1,14,1,2.14,4.9876
1,1,20,2,2.06,6.4537
1,1,14,0,4.05,5.2979
3,1,8,2,3.06,5.9616
5,1,20,2,5.2,9.7033
2,1,8,3,5.5,6.3148
2,0,9,4,2.77,4.875
3,0,19,0,2.18,5.9255
2,0,24,2,4.9,5.9026
1,0,20,0,2.37,3.7145
5,1,25,1,5.11,9.9459
4,1,8,3,3.12,7.6291
2,0,2,1,4.34,3.0419
1,1,30,0,1.48,6.564
4,0,19,0,4.12,6.5831
5,1,24,4,3.26,9.3977
4,0,25,2,3.93,6.7034
1,1,10,2,1.84,4.7664
4,1,5,1,4.68,6.9144
3,0,1,3,5.31,4.5697
4,1,6,5,2.08,7.2805
2,0,17,2,1.48,4.8923
2,0,26,4,1.12,5.5655
3,0,1,1,4.21,3.7552
1,0,26,1,4.04,4.6534
2,1,16,5,3.73,6.9904
5,1,10,4,2.16,8.7807
2,1,26,3,2.95,6.8444
2,0,11,4,3.97,4.807
1,1,26,3,3.48,6.5517
4,0,18,4,5.94,7.968
2,1,21,4,1.68,6.3968
3,1,23,0,4.48,8.1645
4,1,24,1,3.02,8.6223
5,0,6,4,3.14,7.3587
1,1,19,5,4.59,6.4996
5,1,5,4,4.46,8.59
4,0,20,2,5.96,7.7052
4,1,23,1,1.64,8.2093
4,0,0,2,1.52,4.6265
5,1,16,1,4.62,8.5168
4,0,28,2,3.89,7.1632
5,0,30,4,2.37,8.0129
4,1,10,4,1.4,7.8368
3,0,21,0,1.43,5.7875
4,0,25,5,5.47,7.9334
5,0,27,2,1.96,8.0977
2,0,17,3,2.62,4.9117
4,0,20,0,2.13,6.3577
2,0,16,2,2.77,5.4049
3,1,6,2,1.35,5.387
1,0,16,0,3.6,3.7964
3,0,19,4,1.34,6.3009
4,1,8,2,5.0,7.0466
2,1,16,4,2.17,7.1756
2,1,19,0,3.7,6.3968
5,1,21,4,5.4,10.0
2,1,21,1,4.25,6.8083
5,1,27,3,3.66,9.5948
1,1,30,2,2.62,5.6818
4,0,28,5,2.67,6.4167
5,0,7,3,4.35,6.9344
1,1,16,4,5.97,7.0258
2,0,6,2,4.31,4.0023
2,0,0,4,3.79,3.8293
1,0,12,1,4.65,3.5417
2,1,29,0,3.33,6.8161
1,1,22,2,1.3,5.9285
5,0,18,1,3.81,7.6382
5,1,26,1,5.79,9.7377
1,0,23,2,1.88,4.8067
5,0,18,4,4.45,8.2263
5,0,29,5,2.0,7.8958
5,0,29,1,3.68,8.3185
3,1,28,3,1.48,7.4645
4,1,16,1,3.25,8.0456
2,1,12,5,4.78,7.2012
3,0,28,4,2.74,6.4125
5,1,29,4,4.32,9.455
1,0,15,3,4.98,4.6334
5,1,7,1,5.64,7.7729
4,0,18,4,2.17,6.4604
5,0,17,5,3.0,7.8606
1,0,0,2,1.76,1.4224
4,1,13,0,5.96,7.6481
5,1,18,0,5.64,9.1803
4,1,14,0,3.7,6.9558
2,1,17,1,5.21,6.81
2,0,1,3,3.6,3.8105
5,1,21,4,4.12,9.8884
4,1,27,2,1.45,8.4812
1,0,16,5,4.78,5.2367
5,0,17,2,1.64,7.271
2,0,29,5,5.13,5.8945
2,1,5,1,4.91,4.8164
5,0,18,0,4.54,6.9814
4,0,30,1,1.18,6.8879
2,0,3,3,2.52,3.7616
4,1,0,3,2.32,6.6564
2,0,7,5,2.8,5.1796
2,1,28,4,1.44,7.0083
3,1,22,4,5.68,8.4487
2,0,6,5,3.77,5.9116
1,0,2,3,2.53,2.1761
5,1,9,3,2.98,8.2614
5,0,9,3,3.24,7.4476
4,0,18,1,4.0,6.6348
2,1,13,3,3.58,6.9825
1,1,1,2,5.6,4.1885
4,0,27,0,3.48,7.8543
3,1,0,3,5.96,5.7202
4,0,22,5,5.26,7.8551
4,0,22,0,2.04,7.1113
2,0,27,1,5.65,5.6436
3,1,17,5,1.58,7.8721
4,0,6,0,5.09,4.5134
1,0,28,5,2.9,4.7445
1,0,7,1,5.39,2.9315
5,1,0,2,5.34,6.4202
3,1,24,1,5.03,8.2817
3,1,22,1,4.95,8.1855
5,1,2,5,2.52,8.7022
4,1,23,4,1.4,8.594
3,0,22,3,3.01,7.0395
1,1,26,3,1.87,6.1123
1,1,30,2,4.47,6.4396
2,1,28,2,2.73,6.9543
3,0,7,3,5.88,5.3898
4,1,21,4,4.2,8.1684
5,1,24,3,5.11,9.7008
5,0,14,4,1.66,7.129
4,1,4,2,5.31,7.0321
2,0,2,0,5.61,2.35
5,0,18,5,3.44,7.747
3,0,0,2,4.03,3.6439
2,0,27,2,4.82,5.7621
3,0,14,1,1.87,5.0632
1,1,7,1,3.51,4.5523
2,0,1,1,2.99,2.4357
5,0,2,5,1.73,6.7838
2,1,23,1,2.84,7.8449
2,0,13,4,1.34,5.4143
2,1,23,3,1.13,6.7152
2,1,13,0,1.68,4.9376
3,1,10,2,5.82,6.954
1,0,15,4,3.75,4.5963
4,0,3,0,5.83,4.575
2,0,19,4,3.16,5.6054
5,1,4,4,2.56,7.4752
2,0,21,2,3.53,5.624
5,0,20,3,3.2,8.3025
3,0,13,1,1.53,4.7495
5,1,30,5,4.2,9.4348
4,1,22,3,2.08,8.0987
1,0,15,5,4.1,4.3573
5,0,17,2,4.25,8.1071
5,0,6,2,1.76,5.8896
1,0,9,2,1.31,3.3276
4,1,6,0,4.9,6.735
2,1,0,5,3.3,5.9712
5,1,22,3,1.29,9.0309
1,1,20,3,5.97,6.7396
3,0,18,4,1.29,5.9089
1,0,15,4,4.48,4.7588
3,0,28,4,5.92,6.8906
4,1,18,2,2.2,8.1397
2,0,3,3,1.71,2.8739
1,1,28,5,1.61,5.7746
5,1,27,2,2.52,9.2854
4,0,17,0,1.51,6.2622
1,0,1,4,4.46,3.1418
5,0,0,2,1.31,5.1903
1,1,14,2,3.55,5.5816
3,0,4,0,5.98,4.2254
1,1,19,1,5.07,6.4876
1,0,10,3,4.08,4.4243
1,1,9,5,2.53,5.5195
